MUNICIPIO|MUNICIPIO_DESC
15037|HUIXQUILUCAN
9016|MIGUEL HIDALGO
12038|ZIHUATANEJO DE AZUETA
23008|SOLIDARIDAD
11003|SAN MIGUEL DE ALLENDE
2004|TIJUANA
19019|SAN PEDRO GARZA GARCIA
23005|BENITO JUAREZ
12001|ACAPULCO DE JUAREZ
2003|TECATE
23009|TULUM
23001|COZUMEL
2005|PLAYAS DE ROSARITO
9015|CUAUHTEMOC
31050|MERIDA
14067|PUERTO VALLARTA
2002|MEXICALI
2001|ENSENADA
9004|CUAJIMALPA DE MORELOS
3008|LOS CABOS
25012|MAZATLAN
15110|VALLE DE BRAVO
3003|LA PAZ
31090|TIMUCUY
3009|LORETO
22014|QUERETARO
14039|GUADALAJARA
24028|SAN LUIS POTOSI
9010|ALVARO OBREGON
27004|CENTRO
15057|NAUCALPAN DE JUAREZ
8037|JUAREZ
9014|BENITO JUAREZ
14030|CHAPALA
31015|CUZAMA
14120|ZAPOPAN
15051|LERMA
19048|SANTA CATARINA
14023|ZAPOTLAN EL GRANDE
9007|IZTAPALAPA
15104|TLALNEPANTLA DE BAZ
19039|MONTERREY
15121|CUAUTITLAN IZCALLI
9012|TLALPAN
9013|XOCHIMILCO
9005|GUSTAVO A. MADERO
15033|ECATEPEC DE MORELOS
9002|AZCAPOTZALCO
9006|IZTACALCO
15106|TOLUCA
4003|CARMEN
15052|MALINALCO
31059|PROGRESO
15020|COACALCO DE BERRIOZABAL
19021|GENERAL ESCOBEDO
22011|EL MARQUES
17011|JIUTEPEC
9008|LA MAGDALENA CONTRERAS
15013|ATIZAPAN DE ZARAGOZA
31026|DZEMUL
13048|PACHUCA DE SOTO
8019|CHIHUAHUA
22016|SAN JUAN DEL RIO
4002|CAMPECHE
19046|SAN NICOLAS DE LOS GARZA
11020|LEON
15054|METEPEC
19006|APODACA
19026|GUADALUPE
14047|JAMAY
31038|HUNUCMA
22006|CORREGIDORA
19018|GARCIA
31020|CHICXULUB PUEBLO
31068|SINANCHE
15120|ZUMPANGO
31083|TELCHAC PUERTO
